,Title,Price
0,"Lenovo L23i-18 Wide 23 inch WLED backlight + In Plane Switching Monitor, 23""",$105.99
1,adidas Ultimate 2.0 Tee Men's,$13.00
2,Rivka Friedman White Rhodium Clad Interlocking Ring Necklace,$27.26
3,adidas Equipment Support ADV Shoes Women's,$49.99
4,Apple Watch Series 4 - 40mm - 4G Cellular - Aluminum Case Smart Watch,$369.00
5,"Invicta Men's Speedway 28227 Black Silicone, Stainless Steel Chronograph  Watch",$89.99
6,Thomas Kinkade Disney Dreams Collection 9x12 Framed Matted Prints (Choice of 10),$24.95
7,"Omega XL 60ct by Great HealthWorks: Small, Potent, Joint Pain Relief - Omega-3",$37.00
8,"Apple MacBook Air Core i5 1.6GHz 8GB RAM 128GB SSD 13"" - MMGF2LL/A",$499.97
9,Microsoft Xbox One X 1TB  - Fallout 76 Bundle,$399.00
10,Samsung 860 EVO 250GB 2.5 Inch SATA III Internal SSD (MZ-76E250B/AM) NEW,NA
11,Ninja Chef 1500 Watt High Speed Blender Mixer Processor Duo w/ Single Serve Cup,$123.99
12,Herman Miller Aeron Chair Open Box Size B Fully Loaded   hardwood caster,$474.11
13,New Wire Shelving Cart Unit 3 Shelves Shelf Rack Black T53 Layer Tier,$19.99
14,"Rockville RBG15S 15"" 1600w Active Powered PA Subwoofer w/DSP + Limiter Pro/DJ",$249.95
15,2018 American Gold Eagle (1 oz) $50 - BU,"$1,345.41"
16,"LG OLED77C8PUA 77"" Smart OLED 4K Ultra HD TV with HDR - OLED77C8P","$4,399.00"
17,Battery Tender Junior Junior 12Volt @ .75 Amp 021-0123,$20.93
18,Remo+ DoorCam World's First and Only Over The Door Smart Camera,$99.00
19,Mega Bloks American Girl Grace's 2-in-1 Buildable Play Home House Construx CHOP,$39.00
20,Nikon Z6 Mirrorless Digital Camera (Body Only),"$1,609.99"
21,"eBay-Branded Padded Airjacket With Blue Print 6.5"" x 8.75""",$25.81
22,HP #63 Combo Ink Cartridges 63 Black & Color NEW GENUINE,$22.75
23,"Samsonite Carbon 2 20"" Spinner - Luggage",$84.99
